Fold,Euclidean Original - Protected,Euclidean Original - Reconstructed,Hausdorff Original - Protected,Hausdorff Original - Reconstructed,Jaccard Original - Protected,Jaccard Original - Reconstructed
1,55968.7712845206,1199.8076923588683,110470.79469948352,1761.5254080175707,2.871070178881094e-05,4.927564389840122e-05
1,31949.84276548677,2065.5006872876415,59425.14977450269,2936.1777518194554,0.0,0.0
1,40120.75420140821,2726.5573723496263,85375.30124493653,3268.177630340385,1.9111229945636402e-05,0.0
1,79965.36672344794,4098.420299986463,146437.50852274496,7830.980156780657,1.1947321608216278e-05,0.0009920025164637954
1,42004.0636990062,37658.000382642545,79178.61342715974,37997.88972975971,0.0,0.0
1,37730.952584947874,37838.72379339853,61987.116165942185,37980.92077081077,0.0,0.0
1,54436.880107986646,1924.386171389033,127530.11238368698,2363.669624240912,1.626229290180028e-05,0.0
1,16275.248399009444,2401.6052170387256,48242.27550910879,3748.4632289683072,1.8922077149414186e-05,0.0
1,7161.794133020435,1550.7314960697393,15747.381006681066,1829.2466416045304,8.230680914842387e-07,0.0
1,30572.887821983168,2104.861180404156,79329.52154849921,2415.207559918219,3.1658110980189686e-05,0.0
1,66659.6452223395,2038.3316532054798,102671.55660834651,2235.079100141155,2.7174649930312664e-05,0.0
1,18174.149020482295,1757.1562534537181,33819.471916012415,1681.9121142858655,2.3177003436829446e-05,0.0
1,55991.95007801637,691.0822861551324,112868.70405970342,1430.5841687306613,7.980016537824153e-06,0.0
1,27553.97315529363,1765.6632184955724,60333.599840109746,2544.3280116876126,1.4430007483307706e-05,0.0
1,15470.25572203334,4125.50264035152,32225.068313852586,4408.870125180584,2.2506891205432084e-06,0.0
1,19009.790629778116,6921.6658789957,38218.856902398074,7307.982279880922,0.0,0.0
1,10621.722061667928,3587.5105680899896,27042.09498221839,3754.570268483451,2.3537415723718776e-06,0.0
1,21933.53411974524,7626.366762061768,34954.28781379357,7735.87755019758,0.0,0.0
1,19522.210278414015,8947.712661746984,45714.60446301428,9931.556367568875,6.353242626623954e-07,0.0
1,34653.78697789137,9326.978565564908,60881.31030776351,9604.30529194644,0.0,0.0
1,84996.17764826024,23393.287221456292,144397.81743318346,23740.355306138084,7.757913012593981e-07,0.0
1,40585.27064670358,2036.8139409930575,85777.2582541685,2872.4141369166255,2.3133039696903466e-05,0.0
1,43558.21517169294,2113.4476623516694,91163.17556765299,2422.5687898184297,3.211995342278784e-06,0.0
1,54988.09790009101,3227.779214567318,98558.59904298675,3714.8386059473914,1.8277455793012014e-05,0.0
1,18613.87969635743,3010.4419177022614,31649.263380850865,3506.431406907702,0.0,0.0
1,32693.1640919218,1257.5566550315314,80858.84264961487,2193.9815514715706,1.7872262729507723e-06,0.0
1,46707.089855521735,2453.7657810201836,105188.16045779265,2630.7542867306697,1.7042667052299875e-05,0.0
1,54574.989493749206,2487.5769770055235,93155.32781014504,3239.585213966517,4.872384124075395e-06,0.0
1,40830.78303246634,3268.9731106447166,86947.51045703392,4683.3913845053585,4.168952379146613e-05,0.0
1,29833.01108676782,1623.9169749406933,75207.71218731253,2869.9428178703547,1.3864667927566921e-05,0.0
1,56058.278238837105,1280.518870863345,105020.06341539476,1380.3553415324152,0.0,0.0014943649307303682
1,46999.24198094648,2297.0038478421466,109130.95107307886,4293.120633944092,3.1347972277892735e-05,0.0
1,27452.843665492448,2276.758306384574,57670.61334544353,3214.350195743952,4.408217628985503e-05,0.0
1,68670.96214482015,1315.0295674660026,110831.26804227363,1604.8346955369655,0.0,0.0
1,30116.006824040425,1793.642559827963,62514.02538451721,2203.785581530346,1.5752621852859822e-05,0.0
1,22470.123324475535,2658.4699948906145,43310.50078637771,2902.072078254676,0.0,0.0
1,23584.898460659475,2541.9243012187058,51576.34356857297,3035.608456513751,4.5000998709409186e-07,0.0
1,39512.89995903065,1016.3184853004834,98798.14458751006,1295.4130239734095,2.77841186995962e-05,0.0
1,30737.781233150374,3077.010386668725,64589.675355047686,4019.3206194421537,8.447572705453384e-06,0.0
1,53304.61583947217,2364.6827163940175,109862.34530537232,2579.2330166657707,2.3900594257678276e-06,0.0
1,51753.156523213336,2881.953098606022,96814.47891350283,3379.964589869204,4.500122152166439e-05,0.0
1,57829.52429284136,1797.4471485506238,120971.43257784595,2627.3099174248937,1.8991055737319608e-05,0.0
1,50218.91094568123,1494.2060621643852,86658.45500544686,1845.8312174993582,0.0,0.0
1,39371.00052689019,2022.8215249685716,93822.98250404185,2607.855565613169,2.8137362871710793e-06,0.0
1,40278.02700069281,1846.8974924836746,80782.65416710122,2454.8994336668557,0.0,0.0
1,57360.52361710152,2515.7961496393723,86653.23575270429,3897.721607602804,0.0,0.0
1,66188.94565240703,5078.4490002248385,113714.08189800089,10900.691596022814,0.0,0.0
1,25239.807986522384,2391.0052588522503,43884.12830072861,2582.0079464765595,2.10648887174189e-06,0.0
1,44301.4569036183,1347.3328083578979,82013.02079709938,1524.7567742578094,0.0,0.0
1,21374.987532391562,2291.0169475162816,57984.806790058574,3196.1721602945686,5.283427379219058e-06,0.0
1,72500.43468039302,2494.8404759416953,120973.47731718431,3542.8154905421743,4.331806261544792e-05,0.0
1,30735.016040066323,1165.2138039690915,78715.10797398772,2540.5439620081193,1.4563818672092375e-05,0.0
1,90500.72799943842,16434.97832103913,156429.89755994309,23819.74696193718,4.764827070079351e-07,0.0
1,34074.625951493035,14562.83369654992,76176.39748171467,15393.704583522192,1.947285134020854e-06,0.0
1,41656.9837321561,14377.633412170198,77731.02150484986,15168.483103505696,1.4225993840380066e-05,0.0
